Rank,Country Name,Country_Encoded,Country ISO,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,Development Tier,Health_Index,Expected_Schooling_Index,Mean_Schooling_Index,Education_Index,GNI_Cleaned,Income_Index
120,Kyrgyzstan,98,KYR,0.664,70.8,13.0,10.8,3097.0,Medium,0.7815384615384615,0.7222222222222222,0.7200000000000001,0.7211111111111111,3097.0,0.5185771949770311
121,Iraq,86,IRA,0.65,70.68894736842105,12.75,8.117368421052632,16637.647368421054,Medium,0.7798299595141701,0.7083333333333334,0.5411578947368422,0.6247456140350878,16637.647368421054,0.772537247660219
122,Cabo Verde,28,CAB,0.649,73.5,13.5,4.8,6049.0,Medium,0.823076923076923,0.75,0.32,0.535,6049.0,0.6197028241427817
123,Morocco,121,MOR,0.647,74.3,12.1,5.0,7195.0,Medium,0.8353846153846154,0.6722222222222222,0.3333333333333333,0.5027777777777778,7195.0,0.6459099922211365
124,Nicaragua,128,NIC,0.645,75.2,11.7,6.5,4747.0,Medium,0.8492307692307692,0.6499999999999999,0.43333333333333335,0.5416666666666666,4747.0,0.5830899164008401
125,Namibia,124,NAM,0.641,65.1,11.7,6.7,9770.0,Medium,0.6938461538461538,0.6499999999999999,0.44666666666666666,0.5483333333333333,9770.0,0.6921224911121724
126,Guatemala,74,GUA,0.639,72.1,10.7,6.3,7063.0,Medium,0.8015384615384614,0.5944444444444444,0.42,0.5072222222222222,7063.0,0.6431129763370402
127,Micronesia (Federated States of),117,MIC,0.638,69.3,11.7,9.7,3291.0,Medium,0.7584615384615384,0.6499999999999999,0.6466666666666666,0.6483333333333332,3291.0,0.5277549739946712
128,Guyana,77,GUY,0.637,66.5,10.3,8.4,6884.0,Medium,0.7153846153846154,0.5722222222222223,0.56,0.5661111111111112,6884.0,0.6392353738881472
129,Tajikistan,171,TAJ,0.628,69.6,11.3,10.4,2601.0,Medium,0.763076923076923,0.6277777777777778,0.6933333333333334,0.6605555555555556,2601.0,0.4922122426450268
130,Honduras,79,HON,0.625,73.3,11.2,6.2,4466.0,Medium,0.82,0.6222222222222222,0.41333333333333333,0.5177777777777778,4466.0,0.5738725430807048
131,India,83,IND,0.624,68.3,11.7,6.3,5663.0,Medium,0.7430769230769231,0.6499999999999999,0.42,0.5349999999999999,5663.0,0.6097423327802295
132,Bhutan,19,BHU,0.606,69.9,12.5,3.1,7081.0,Medium,0.7676923076923078,0.6944444444444444,0.20666666666666667,0.45055555555555554,7081.0,0.6434974509740187
133,Timor-Leste,175,TIM,0.605,68.5,12.5,4.4,5371.0,Medium,0.7461538461538462,0.6944444444444444,0.29333333333333333,0.4938888888888889,5371.0,0.6017454912715703
134,Vanuatu,189,VAN,0.597,72.1,10.8,6.8,2805.0,Medium,0.8015384615384614,0.6000000000000001,0.4533333333333333,0.5266666666666667,2805.0,0.5036180912138403
135,Congo,38,CON,0.592,62.9,11.1,6.3,5503.0,Medium,0.66,0.6166666666666667,0.42,0.5183333333333333,5503.0,0.6054130167500421
136,Equatorial Guinea,60,EQU,0.592,57.9,9.2,5.5,21517.0,Medium,0.583076923076923,0.5111111111111111,0.36666666666666664,0.4388888888888889,21517.0,0.8113850475349317
137,Kiribati,95,KIR,0.588,66.2,11.9,7.8,2475.0,Medium,0.7107692307692308,0.6611111111111111,0.52,0.5905555555555555,2475.0,0.48471148111313345
138,Lao People's Democratic Republic,99,LAO,0.586,66.6,10.8,5.2,5049.0,Medium,0.7169230769230769,0.6000000000000001,0.3466666666666667,0.4733333333333334,5049.0,0.5924066357759001
139,Zambia,193,ZAM,0.579,60.8,12.5,6.9,3464.0,Medium,0.6276923076923077,0.6944444444444444,0.46,0.5772222222222222,3464.0,0.5354939398853277
140,Ghana,71,GHA,0.578,61.5,11.5,6.9,3839.0,Medium,0.6384615384615384,0.6388888888888888,0.46,0.5494444444444444,3839.0,0.5510206451213175
141,Bangladesh,13,BAN,0.579,72.0,10.2,5.2,3341.0,Medium,0.8,0.5666666666666667,0.3466666666666667,0.45666666666666667,3341.0,0.5300326970564863
142,Sao Tome and Principe,151,SAO,0.574,66.6,12.0,5.3,3070.0,Medium,0.7169230769230769,0.6666666666666666,0.35333333333333333,0.51,3070.0,0.5172544997259693
143,Cambodia,29,CAM,0.563,68.8,10.9,4.7,3095.0,Medium,0.7507692307692307,0.6055555555555556,0.31333333333333335,0.4594444444444445,3095.0,0.5184796137518161
144,Nepal,125,NEP,0.558,70.0,12.2,4.1,2337.0,Medium,0.7692307692307693,0.6777777777777777,0.2733333333333333,0.4755555555555555,2337.0,0.4760450602633855
145,Myanmar,123,MYA,0.555,66.1,9.1,4.7,4943.0,Medium,0.7092307692307691,0.5055555555555555,0.31333333333333335,0.40944444444444444,4943.0,0.5892015700779821
146,Kenya,94,KEN,0.555,62.2,11.1,6.3,2881.0,Medium,0.6492307692307693,0.6166666666666667,0.42,0.5183333333333333,2881.0,0.5076564026182158
147,Pakistan,133,PAK,0.551,66.4,8.1,5.1,5031.0,Medium,0.7138461538461539,0.44999999999999996,0.33999999999999997,0.39499999999999996,5031.0,0.5918671504475395
148,Swaziland,167,SWA,0.54,48.9,11.4,6.8,7522.0,Low,0.4446153846153846,0.6333333333333333,0.4533333333333333,0.5433333333333333,7522.0,0.6526237729184512
